Cuenta,Almacén
116-07-01-0001,Sucursal (Escuinapa)
201-01-02-1501,Proveedores Transito
116-06-01-0001,Sucursal (Rosario)
116-26-01-0001,Sucursal (Aeropuerto)
116-10-01-0001,Sucursal (Alamos)
116-10-01-0002,Sucursal (Alamos)
116-14-01-0001,Sucursal (Los Dos Valles)
116-14-01-0002,Sucursal (Los Dos Valles)
116-17-01-0001,Sucursal (Fatima)
116-28-01-0001,Sucursal (Revolucion)
116-28-01-0002,Sucursal (Revolucion)
116-39-01-0001,Sucursal (Playa El Camaron)
116-39-01-0002,Sucursal (Playa El Camaron)
116-42-01-0001,Sucursal (La Colorada)
116-71-01-0001,CEDIS Culiacán
116-46-01-0001,Sucursal (Cuahutemoc)
116-46-01-0002,Sucursal (Cuahutemoc)
116-03-01-0001,Sucursal (Foresta)
116-02-01-0001,Sucursal (Sabalo)
116-18-01-0001,Sucursal (Alhuey 1)
116-21-01-0001,Sucursal (Cerritos)
116-34-01-0001,Sucursal (Munich)
116-40-01-0001,Sucursal (Santa Rosa)
116-70-01-0001,CEDIS Mazatlán
116-05-01-0001,Sucursal (12 de Mayo)
116-11-01-0001,Sucursal (Bellavista)
116-04-01-0001,Sucursal (Flores Magon)
116-23-01-0001,Sucursal (Ejercito)
116-22-01-0001,Sucursal (Urbivilla)
116-30-01-0001,Sucursal (Madero)
116-41-01-0001,Sucursal (Carrasco)
116-99-01-0001,Equipo de Computo
116-09-01-0001,Sucursal (Campo Diez)
116-12-01-0001,Sucursal (Papalote)
116-08-01-0001,Sucursal (Humaya)
116-01-01-0001,Sucursal (Marina)
116-74-01-0001,Sucursal (Corporativo)
116-16-01-0001,Sucursal (Alhuey 2)
116-19-01-0001,Sucursal (Cardones)
116-20-01-0001,Sucursal (El Habal)
116-25-01-0001,Sucursal (Colosio)
116-24-01-0001,Sucursal (Real del Vallel)
116-29-01-0001,Sucursal (Concordia)
116-38-01-0001,Sucursal (Pericos Centro)
116-45-01-0001,Sucursal (Las Habas)
116-13-01-0001,Sucursal (San Pedro)
116-15-01-0001,Sucursal (Heroico)
116-27-01-0001,Sucursal (Pericos)
116-32-01-0001,Sucursal (Malecon)
116-33-01-0001,Sucursal (Patria)
116-31-01-0001,Sucursal (Obregon)
116-47-01-0001,Sucursal (el conchi)
116-72-01-0001,Sucursal (CCO Mazatlán)
116-72-01-0002,Sucursal (CCO Mazatlán)
116-47-01-0002,Sucursal (el conchi)
116-35-01-0001,Sucursal (Parques)
