(GCC),ZONA(CC),ESTACION,PORCENTAJE
ES_Corporativo,ES_Corporativo,MARINA,2.32
ES_Corporativo,ES_Corporativo,SABALO,2.22
ES_Corporativo,ES_Corporativo,CERRITOS,2.22
ES_Corporativo,ES_Corporativo,REAL DEL VALLE,2.22
ES_Corporativo,ES_Corporativo,PLAYAS,2.22
ES_Corporativo,ES_Corporativo,HABAS,2.22
ES_Corporativo,ES_Corporativo,CARDONES,2.22
ES_Corporativo,ES_Corporativo,HABAL,2.22
ES_Corporativo,ES_Corporativo,AEROPUERTO,2.22
ES_Corporativo,ES_Corporativo,CONCORDIA,2.22
ES_Corporativo,ES_Corporativo,FORESTA,2.22
ES_Corporativo,ES_Corporativo,FLORES MAGON,2.22
ES_Corporativo,ES_Corporativo,12 DE MAYO,2.22
ES_Corporativo,ES_Corporativo,URBIVILLA,2.22
ES_Corporativo,ES_Corporativo,COLOSIO,2.22
ES_Corporativo,ES_Corporativo,SANTA ROSA,2.22
ES_Corporativo,ES_Corporativo,EL CONCHI,2.22
ES_Corporativo,ES_Corporativo,EJERCITO,2.22
ES_Corporativo,ES_Corporativo,MUNICH2,2.22
ES_Corporativo,ES_Corporativo,CARRASCO,2.22
ES_Corporativo,ES_Corporativo,DIEZ,2.22
ES_Corporativo,ES_Corporativo,HUMAYA,2.22
ES_Corporativo,ES_Corporativo,BELLAVISTA,2.22
ES_Corporativo,ES_Corporativo,PAPALOTE,2.22
ES_Corporativo,ES_Corporativo,SAN PEDRO,2.22
ES_Corporativo,ES_Corporativo,HEROICO,2.22
ES_Corporativo,ES_Corporativo,MADERO,2.22
ES_Corporativo,ES_Corporativo,MALECON,2.22
ES_Corporativo,ES_Corporativo,OBREGON,2.22
ES_Corporativo,ES_Corporativo,PATRIA,2.22
ES_Corporativo,ES_Corporativo,PERICOS,2.22
ES_Corporativo,ES_Corporativo,PERICOS CENTRO,2.22
ES_Corporativo,ES_Corporativo,ALAMOS,2.22
ES_Corporativo,ES_Corporativo,FATIMA,2.22
ES_Corporativo,ES_Corporativo,DOS VALLES,2.22
ES_Corporativo,ES_Corporativo,REVOLUCION,2.22
ES_Corporativo,ES_Corporativo,CUAHUTEMOC,2.22
ES_Corporativo,ES_Corporativo,ALHUEY 1,2.22
ES_Corporativo,ES_Corporativo,ALHUEY 2,2.22
ES_Corporativo,ES_Corporativo,PARQUES,2.22
ES_Corporativo,ES_Corporativo,ROSARIO,2.22
ES_Corporativo,ES_Corporativo,ESCUINAPA,2.22
ES_Corporativo,ES_Corporativo,GOBERNADOR,2.22
ES_Corporativo,ES_Corporativo,LA COLORADA,2.22
ES_Corporativo,ES_Corporativo,LA PAZ,2.22
