(GCC),ZONA(CC),ESTACION,PORCENTAJE
MAZATLAN GRAL,MAZATLAN GRAL,MARINA,5.00
MAZATLAN GRAL,MAZATLAN GRAL,SABALO,5.00
MAZATLAN GRAL,MAZATLAN GRAL,CERRITOS,5.00
MAZATLAN GRAL,MAZATLAN GRAL,REAL DEL VALLE,5.00
MAZATLAN GRAL,MAZATLAN GRAL,PLAYAS,5.00
MAZATLAN GRAL,MAZATLAN GRAL,HABAS,5.00
MAZATLAN GRAL,MAZATLAN GRAL,CARDONES,5.00
MAZATLAN GRAL,MAZATLAN GRAL,HABAL,5.00
MAZATLAN GRAL,MAZATLAN GRAL,AEROPUERTO,5.00
MAZATLAN GRAL,MAZATLAN GRAL,CONCORDIA,5.00
MAZATLAN GRAL,MAZATLAN GRAL,FORESTA,5.00
MAZATLAN GRAL,MAZATLAN GRAL,FLORES MAGON,5.00
MAZATLAN GRAL,MAZATLAN GRAL,12 DE MAYO,5.00
MAZATLAN GRAL,MAZATLAN GRAL,URBIVILLA,5.00
MAZATLAN GRAL,MAZATLAN GRAL,COLOSIO,5.00
MAZATLAN GRAL,MAZATLAN GRAL,SANTA ROSA,5.00
MAZATLAN GRAL,MAZATLAN GRAL,EL CONCHI,5.00
MAZATLAN GRAL,MAZATLAN GRAL,EJERCITO,5.00
MAZATLAN GRAL,MAZATLAN GRAL,MUNICH2,5.00
MAZATLAN GRAL,MAZATLAN GRAL,CARRASCO,5.00
