Distribución,Utilitario
MAZATLAN 1,AU-084
MAZATLAN 1,AU-110
MAZATLAN 2,CA-129
MAZATLAN 2,CA-209
MAZATLAN 3,AU-114
MAZATLAN 3,CA-117
MAZATLAN 4,AU-195
ZONA CULIACAN,AU-109
ZONA CULIACAN,AU-135
ZONA CULIACAN,AU-139
ZONA CULIACAN,AU-144
ZONA CULIACAN,AU-146
ZONA CULIACAN,AU-150
ZONA CULIACAN,AU-207
ZONA CULIACAN,AU-227
ZONA CULIACAN,CA-132
NORTE,AU-147
NORTE,AU-151
NORTE,AU-229
NORTE,CA-167
CENTRO,AU-145
CENTRO,AU-149
CENTRO,AU-162
CENTRO,CA-166
SUR,AU-115
SUR,AU-136
SUR,CA-114
JALISCO,AU-113
