(GCC),ZONA(CC),ESTACION,PORCENTAJE
MAZATLAN 1,MAZATLAN 1,MARINA,20.00
MAZATLAN 1,MAZATLAN 1,SABALO,15.00
MAZATLAN 1,MAZATLAN 1,CERRITOS,15.00
MAZATLAN 1,MAZATLAN 1,REAL DEL VALLE,15.00
MAZATLAN 1,MAZATLAN 1,PLAYAS,15.00
MAZATLAN 1,MAZATLAN 1,HABAS,20.00
MAZATLAN 2,MAZATLAN 2,CARDONES,25.00
MAZATLAN 2,MAZATLAN 2,HABAL,25.00
MAZATLAN 2,MAZATLAN 2,AEROPUERTO,25.00
MAZATLAN 2,MAZATLAN 2,CONCORDIA,25.00
MAZATLAN 3,MAZATLAN 3,FORESTA,14.32
MAZATLAN 3,MAZATLAN 3,FLORES MAGON,14.28
MAZATLAN 3,MAZATLAN 3,12 DE MAYO,14.28
MAZATLAN 3,MAZATLAN 3,URBIVILLA,14.28
MAZATLAN 3,MAZATLAN 3,COLOSIO,14.28
MAZATLAN 3,MAZATLAN 3,SANTA ROSA,14.28
MAZATLAN 3,MAZATLAN 3,EL CONCHI,14.28
MAZATLAN 4,MAZATLAN 4,EJERCITO,30.00
MAZATLAN 4,MAZATLAN 4,MUNICH2,35.00
MAZATLAN 4,MAZATLAN 4,CARRASCO,35.00
ZONA CULIACAN,CULIACAN,DIEZ,10.00
ZONA CULIACAN,CULIACAN,HUMAYA,8.20
ZONA CULIACAN,CULIACAN,BELLAVISTA,8.18
ZONA CULIACAN,CULIACAN,PAPALOTE,8.18
ZONA CULIACAN,CULIACAN,SAN PEDRO,8.18
ZONA CULIACAN,CULIACAN,HEROICO,8.18
ZONA CULIACAN,CULIACAN,MADERO,8.18
ZONA CULIACAN,CULIACAN,MALECON,8.18
ZONA CULIACAN,CULIACAN,OBREGON,8.18
ZONA CULIACAN,CULIACAN,PATRIA,8.18
ZONA CULIACAN,CULIACAN,PERICOS,8.18
ZONA CULIACAN,CULIACAN,PERICOS CENTRO,8.18
NORTE,NORTE,ALAMOS,20.00
NORTE,NORTE,FATIMA,20.00
NORTE,NORTE,DOS VALLES,20.00
NORTE,NORTE,REVOLUCION,20.00
NORTE,NORTE,CUAHUTEMOC,20.00
CENTRO,CENTRO,ALHUEY 1,40.00
CENTRO,CENTRO,ALHUEY 2,30.00
CENTRO,CENTRO,PARQUES,30.00
SUR,SUR,ROSARIO,50.00
SUR,SUR,ESCUINAPA,50.00
JALISCO,JALISCO,GOBERNADOR,100.00
SONORA,SONORA,LA COLORADA,100.00
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,100.00
