Cuenta,Nombre
121-00-00-0000,IVA POR ACREDITAR
121-01-03-0000,Iva Por Acreditar 16%
222-00-00-0000,IMPUESTOS POR PAGAR
222-01-02-0000,I.S.R. Ret. Servicios Profesionales
222-01-03-0000,I.V.A. Ret. Servicios Profesionales
222-01-04-0000,I.S.R. Ret. S/Arrendamiento de Inmuebles
222-01-05-0000,I.V.A. Ret. S/Arrendamiento de Inmuebles
222-01-06-0000,I.V.A. Retencion de Fletes
222-01-20-0000,Retencion ISN
222-01-21-0000,I.S.R. Ret. 1.25%
502-99-00-0000,Sucursal (Almacen Refacciones)
502-99-03-0000,REPARACION Y MANTENIMIENTO
502-99-03-0001,Rep. Mtto. Eq. de Oficina
502-99-03-0002,Rep. Mtto. Maq. y Equipo
502-99-03-0003,Rep. Mtto. de Edificio
502-99-03-0004,Rep. Mtto. Eq. de Transporte
502-99-03-0005,Rep. Mtto. Eq. de Computo
502-99-03-0006,Rep. Mtto. Eq. de Comunicacion
502-99-03-0007,Rep. y Mtto. de Aire Acondicionado
502-99-03-0008,Rep y Mtto de Jardines
502-99-04-0000,GASTOS Y SERVICIOS GENERALES
502-99-04-0001,Actual. de Contribuciones
502-99-04-0002,Agua Potable y Alcantarillado
502-99-04-0003,Arrendamiento de Inmuebles
502-99-04-0004,Articulos de Limpieza
502-99-04-0005,Asimilacion de Salarios
502-99-04-0006,Atencion a Clientes
502-99-04-0007,Atencion al Personal
502-99-04-0008,Capacitacion y Desarrollo
502-99-04-0009,Comision Por Mediacion
502-99-04-0010,Comisiones Pagadas a Terceros
502-99-04-0011,Correos y Telegrafos
502-99-04-0012,Cuota de Franquicia
502-99-04-0013,Cuotas y Suscripciones
502-99-04-0014,Donativos
502-99-04-0015,Energia Electrica
502-99-04-0016,Fletes y Acarreos
502-99-04-0017,Gasolina y Lubricantes
502-99-04-0018,Gastos de Avaluos
502-99-04-0019,Gastos de Cobranza
502-99-04-0020,Gastos de Viaje
502-99-04-0021,Gastos Diversos
502-99-04-0022,Gastos No Deducibles
502-99-04-0023,Prestación de Servicios
502-99-04-0024,Honorarios de Personas Fisicas
502-99-04-0025,Honorarios a Personas Morales
502-99-04-0026,Impuestos y Derechos Locales
502-99-04-0027,Limpieza Ecologica
502-99-04-0028,Tarjetas de Flotillas
502-99-04-0029,Material de Taller
502-99-04-0030,Material Para Pulir y Encerar
502-99-04-0031,Mercancia Obsoleta
502-99-04-0032,Multas
502-99-04-0033,Papeleria y Art. de Oficina
502-99-04-0034,Placas y Tenencias
502-99-04-0035,Pruebas de Hermeticidad
502-99-04-0036,Publicidad y Propaganda
502-99-04-0037,Reserva Para Cuentas Incobrables
502-99-04-0038,Recargos
502-99-04-0039,Seguros y Fianzas
502-99-04-0040,Servicios Corporativos
502-99-04-0041,Servicios Sub-Contratados
502-99-04-0042,Telefonos
502-99-04-0043,Flete Por Traslado de Valores
502-99-04-0044,Uniformes
502-99-04-0045,Verificacion de Bombas
502-99-04-0046,Vigilancia
502-99-04-0047,Consumo Interno Deducible
502-99-04-0048,Consumo Interno No Deducible
502-99-04-0049,Servicio de Grua
502-99-04-0050,Equipo Contra Incendios
502-99-04-0051,Renta de Cofre Blindado
502-99-04-0052,Celulares
502-99-04-0053,Obsequios
502-99-04-0054,Señalamientos y rotulos
502-99-04-0055,Paqueteria y Mensajeria
502-99-04-0056,Arrendamiento Financiero
502-99-04-0057,Fumigaciones
502-99-04-0058,Botiquin
502-99-04-0059,Sala de capacitacion (universidad Red petroil)
502-99-04-0060,Extintores
502-99-04-0061,Arrendamiento Puro
502-99-04-0063,Renta de Equipo de Computo
